"ID","NAME","CAPACITY","ROOMTYPE","ADDRESS","MUNICIPALITY"
942,"PRAÇA DE TOIROS DE JOSÉ JACINTO BRANCO-SÃO MANÇOS",2233,18,"SÃO MANÇOS",705
943,"AUDITÓRIO SOROR MARIANA",77,6,"R DIOGO CÃO 8",705
944,"AUDITÓRIO DO FORUM EUGÉNIO DE ALMEIDA",158,7,"RUA VASCO DA GAMA, Nº. 13 - ÉVORA",705
945,"A BRUXA TEATRO",50,1,"RUA DO EBORIM",705
946,"SALA ESPETÁCULOS ASS MUSICAL ÉVORA EBORAE MÚSICA",160,8,"AVENIDA DE SÃO SEBASTIÃO, CONVENTO DOS REMÉDIOS",705
947,"CINE TEATRO CURVO SEMEDO",814,14,"LG DR ANTÓNIO JOSÉ DE ALMEIDA-NOSSA SRA DA VILA",706
948,"SALÃO DE FESTAS DA CASA DO POVO DE LAVRE",352,3,"RUA DA CASA DO POVO",706
949,"PRAÇA DE TOIROS DE MONTEMOR-O-NOVO",2879,18,"ROSSIO -  MONTEMOR-O-NOVO",706
950,"AUDITÓRIO ESPAÇO TEMPO (BLACK BOX)",50,7,"LOTEAMENTO DO TERRADO, LOTE 13",706
951,"CINE TEATRO DE MOURÃO",242,14,"R CÂNDIDO DOS REIS",708
952,"PRAÇA DE TOIROS DA GRANJA",900,18,"GRANJA",708
953,"PRAÇA DE TOIROS DE MOURÃO",1620,18,"PRAÇA DA REPÚBLICA, 20",708
954,"PRAÇA DE TOIROS DA NOVA ALDEIA DA LUZ",500,18,"LARGO 25 DE ABRIL, 12",708
955,"PRAÇA DE TOIROS DE AMIEIRA",1820,18,"AMIEIRA",709
956,"AUDITÓRIO MUNICIPAL DE PORTEL",217,7,"RUA DOS BOMBEIROS VOLUNTÁRIOS",709
957,"COLISEU DE REDONDO - EX PRAÇA DE TOIROS",2844,11,"ALAMEDA DO CALVÁRIO",710
958,"AUDITÓRIO DO CENTRO CULTURAL DE REDONDO",206,7,"RUA 1º DEZEMBRO",710
959,"CAFÉ CONCERTO DO CENTRO CULTURAL DE REDONDO",150,2,"REDONDO",710
960,"AUDITÓRIO MUNICIPAL DE REGUENGOS DE MONSARAZ",249,7,"PRAÇA MANUEL PAPANÇA",711
961,"PRAÇA DE TOIROS JOSÉ MESTRE BATISTA - REGUENGOS",3134,18,"CAMPO 25 DE ABRIL",711
962,"AUDITÓRIO DA CÂMARA MUNICIPAL DE VENDAS NOVAS",204,7,"R S DOMINGOS SAVIO",712
963,"CENTRO CULTURAL POLIVALENTE",230,8,"RUA BARTOLOMEU DIAS N.º 23",712
964,"CINE TEATRO VIANENSE",490,14,"R DR ANTÓNIO JOSÉ DE ALMEIDA  24 E 26",713
965,"PAVILHÃO DESPORTIVO MUNICIPAL DE ODIVELAS",250,3,"R DO CANO-ALCÁÇOVAS",713
966,"PRAÇA DE TOIROS DE VILA VIÇOSA",2434,18,"LARGO DOS CAPUCHOS",714
967,"PRAÇA DE TOIROS DE BENCATEL",1200,18,"RUA DAS MASCARENHAS, FREGUESIA DE BENCATEL",714
968,"PRAÇA DE TOIROS PEDRO LOUCEIRO-SOUSEL",1000,18,"SOUSEL",1215
969,"AUDITÓRIO DA BIBLIOTECA MUNICIPAL DE SOUSEL",110,7,"SOUSEL",1215
970,"CINE ORIENTAL",333,17,"RUA VASCO DA GAMA - ALJUSTREL",201
971,"PRAÇA DE TOIROS ANTÓNIO MANUEL LAMPREIA- ALJUSTREL",776,18,"ALJUSTREL E RIO DE MOINHOS",201
972,"PRAÇA DE TOIROS PADRE SERRALHEIRO - MESSEJANA",2000,18,"MESSEJANA",201
973,"AUDITÓRIO DA BIBLIOTECA MUNICIPAL DE ALJUSTREL",124,7,"LARGO DA BIBLIOTECA",201
974,"SALA DE ESPECTÁCULOS DO CENTRO CULTURAL DO ALVITO",100,8,"LG DO RELÓGIO-EDIF DA CÂMARA MUNICIPAL",203
975,"CINE TEATRO DE BARRANCOS",243,7,"LUGAR AGARROCHA, BARRANCOS",204
976,"AUDITÓRIO DO CINE TEATRO PAX JÚLIA",622,14,"PRAÇA CORONEL BAPTISTA",205
977,"SALA ESTÚDIO DO CINE TEATRO PAX JÚLIA",100,8,"PRAÇA CORONEL BAPTISTA",205
978,"PRAÇA DE TOIROS JOSÉ VARELA CRUJO - BEJA",3822,18,"BEJA",205
979,"CINEMA MÉLIUS",218,17,"AVENIDA  FIALHO DE ALMEIDA, Nº. 18",205
980,"CINE TEATRO MUNICIPAL DE CASTRO VERDE",338,14,"PRAÇA DA LIBERDADE",206
981,"AUDITÓRIO DO CENTRO CULTURAL DE CUBA",204,7,"LARGO FIALHO DE ALMEIDA",207
982,"CENTRO CULTURAL MANUEL DA FONSECA",126,8,"RUA  ZECA AFONSO",208
983,"CINE TEATRO MARQUES DUQUE",173,14,"RUA DR. AFONSO COSTA",209
984,"CINE TEATRO CARIDADE",262,14,"PRAÇA SACADURA CABRAL",210
1,"CINE TEATRO VALADARES",142,1,"CAMINHA",1602
2,"AUDITÓRIO DA CASA DA CULTURA DE MELGAÇO",150,7,"AVENIDA CAPITÃO SALGUEIRO MAIA",1603
3,"CINE TEATRO JOÃO VERDE",291,14,"RUA ENG. DUARTE PACHECO",1604
4,"GRANDE SALA CENTRO CULT POLIVALENTE PAREDES COURA",500,8,"AV CÓNEGO BERNARDO CHOUZAL",1605
5,"AUDITÓRIO DO CENTRO CULT POLIVALENTE PAREDES COURA",149,7,"AV CÓNEGO BERNARDO CHOUZAL",1605
6,"TEATRO DIOGO BERNARDES",317,14,"RUA AGOSTINHO JOSÉ TAVEIRA",1607
7,"TEATRO MUNICIPAL SÁ DE MIRANDA",382,1,"R MAJOR XAVIER DA COSTA",1609
8,"CAFÉ CONCERTO DO TEATRO MUNICIPAL SÁ DE MIRANDA",200,2,"RUA MAJOR XAVIER DA COSTA",1609
9,"AUDITÓRIO VERDE VIANA",139,7,"PRAÇA 1º DE MAIO",1609
10,"AUDITÓRIO DA ASSOCIAÇÃO CULT. E EDUCAÇÃO POPULAR",90,7,"RUA MANUEL JOSÉ  MARQUES",1609
11,"CENTRO CULTURAL DE VIANA DO CASTELO",2896,12,"VIANA DO CASTELO",1609
12,"CINEPLACE ESTAÇÃO VIANA SHOPPING - SALA 1",122,15,"CENTRO COMERCIAL ESTAÇÃO VIANA",1609
13,"CINEPLACE ESTAÇÃO VIANA SHOPPING - SALA 2",146,15,"CENTRO COMERCIAL ESTAÇÃO VIANA",1609
14,"CINEPLACE ESTAÇÃO VIANA SHOPPING - SALA 3",189,15,"CENTRO COMERCIAL ESTAÇÃO VIANA",1609
15,"CINEPLACE ESTAÇÃO VIANA SHOPPING - SALA 4",229,15,"CENTRO COMERCIAL ESTAÇÃO VIANA",1609
16,"TEATRO GIL VICENTE",196,14,"LARGO DR. MARTINS LIMA",302
17,"AUDITÓRIO DA BIBLIOTECA DA C. M. DE BARCELOS",110,7,"LARGO DOUTOR JOSÉ NOVAIS",302
18,"SALA DE ESPECTÁCULOS DO CENTRO CÍVICO DOS FEITOS",130,8,"LUG DO MONTE - FEITOS",302
19,"CINEMA CINEMAX - SALA 1",214,15,"CAMPO 25 ABRIL",302
20,"CINEMA CINEMAX - SALA 2",211,15,"CAMPO 25 ABRIL",302
21,"SALA PRINCIPAL DO TEATRO CIRCO DE BRAGA",897,7,"AV DA LIBERDADE 785",303
22,"PEQUENO AUDITÓRIO TEATRO CIRCO DE BRAGA",240,7,"AV DA LIBERDADE 785",303
23,"CINEMA CINEMAX - SALA 1",181,15,"CENTRO COMERCIAL BRAGASHOPPING",303
24,"CINEMA CINEMAX - SALA 2",219,15,"CENTRO COMERCIAL BRAGASHOPPING",303
25,"CINEMA CINEMAX - SALA 3",157,15,"CENTRO COMERCIAL BRAGASHOPPING",303
26,"CINEMA CINEMAX - SALA 4",157,15,"CENTRO COMERCIAL BRAGASHOPPING",303
27,"CINEMA CINEMAX - SALA 5",157,15,"CENTRO COMERCIAL BRAGASHOPPING",303
28,"CINEMA BRAGA PARQUE - SALA 1",112,15,"CENTRO COMERCIAL BRAGA PARQUE-QTA DOS CONGREGADOS",303
29,"CINEMA BRAGA PARQUE - SALA 2",189,15,"CENTRO COMERCIAL BRAGA PARQUE-QTA DOS CONGREGADOS",303
30,"CINEMA BRAGA PARQUE - SALA 3",383,15,"CENTRO COMERCIAL BRAGA PARQUE-QTA DOS CONGREGADOS",303
31,"CINEMA BRAGA PARQUE - SALA 4",187,15,"CENTRO COMERCIAL BRAGA PARQUE-QTA DOS CONGREGADOS",303
32,"CINEMA BRAGA PARQUE - SALA 5",224,15,"CENTRO COMERCIAL BRAGA PARQUE-QTA DOS CONGREGADOS",303
33,"CINEMA BRAGA PARQUE - SALA 6",224,15,"CENTRO COMERCIAL BRAGA PARQUE-QTA DOS CONGREGADOS",303
34,"CINEMA BRAGA PARQUE - SALA 7",183,15,"CENTRO COMERCIAL BRAGA PARQUE-QTA DOS CONGREGADOS",303
35,"CINEMA BRAGA PARQUE - SALA 8",151,15,"CENTRO COMERCIAL BRAGA PARQUE-QTA DOS CONGREGADOS",303
36,"CINEMA BRAGA PARQUE - SALA 9",171,15,"CENTRO COMERCIAL BRAGA PARQUE-QTA DOS CONGREGADOS",303
37,"AUDITÓRIO MUNICIPAL DE ESPOSENDE",50,7,"LG RODRIGUES SAMPAIO",306
38,"AUDITÓRIO DO CENTRO DE ANIMAÇÃO DO GERÊS",150,7,"TERRAS DE BOURO",310
39,"SALA PRINCIPAL DO CINE TEATRO DE FAFE",302,14,"RUA MONSENHOR VIEIRA DE CASTRO",307
40,"PAVILHÃO MULTIUSOS DE FAFE",3300,12,"PARQUE DA CIDADE",307
41,"SALA MANOEL DE OLIVEIRA CINE TEATRO FAFE",152,15,"RUA MONSENHOR VIEIRA DE CASTRO",307
