"COD","DESIGNATION","REGION"
1,"Aveiro",
2,"Beja",4
3,"Braga",1
4,"Bragança",1
5,"Castelo Branco",2
6,"Coimbra",2
7,"Évora",4
8,"Faro",5
9,"Guarda",
10,"Leiria",2
11,"Lisboa",
12,"Portalegre",4
13,"Porto",1
14,"Santarém",
15,"Setúbal",
16,"Viana do Castelo",1
17,"Vila Real",1
18,"Viseu",
40,"Açores",6
30,"Madeira",7
